STATE ABBREVIATION,DISTRICT,FEC ID,INCUMBENT INDICATOR,FIRST NAME,LAST NAME,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL,GENERAL %
CA,2,H0CA06121,,Daniel W.,Roberts,R,"25,635",15.03%,,,"91,310",28.76%
CA,2,H2CA06267,,Norman ,Solomon,D,"25,462",14.93%,,,,
CA,2,H2CA02100,,Stacey ,Lawson,D,"16,946",9.94%,,,,
CA,2,H2CA06275,,Susan L. ,Adams,D,"14,041",8.23%,,,,
CA,2,H6CA06193,,Mike ,Halliwell,R,"10,008",5.87%,,,,
CA,2,H2CA02167,,Brooke ,Clarke,NOP,"3,715",2.18%,,,,
CA,2,H2CA06283,,Tiffany ,Ren_e,D,"3,033",1.78%,,,,
CA,2,H2CA02175,,John,Lewallen,NOP,"2,488",1.46%,,,,
CA,2,H2CA02126,,William L. ,Courtney,D,"2,385",1.40%,,,,
CA,2,H2CA02118,,Andy ,Caffrey,D,"1,737",1.02%,,,,
CA,2,H2CA02159,,Larry ,Fritzlan,D,"1,151",0.67%,,,,
CA,2,n/a,,,,,"170,523",,,,"317,526",
CA,,n/a,,,,,,,,,,
CA,3,H0CA10149,(I),John ,Garamendi,D,"59,546",51.47%,,,"126,882",54.23%
CA,3,H2CA03090,,Kim ,Vann,R,"30,254",26.15%,,,"107,086",45.77%
CA,3,H0CA07103,,Rick ,Tubbs,R,"17,902",15.48%,,,,
CA,3,H2CA03108,,Tony ,Carlos,R,"5,541",4.79%,,,,
CA,3,H0CA00090,,Eugene ,Ray,R,"2,438",2.11%,,,,
CA,3,n/a,,,,,"115,681",,,,"233,968",
CA,,n/a,,,,,,,,,,
CA,4,H8CA04152,(I),Tom,McClintock,R,"114,311",64.79%,,,"197,803",61.11%
CA,4,H2CA04114,,Jack ,Uppal,D,"62,130",35.21%,,,"125,885",38.89%
CA,4,n/a,,,,,"176,441",,,,"323,688",
CA,,n/a,,,,,,,,,,
CA,5,H8CA01109,(I),Mike ,Thompson,D,"95,748",72.20%,,,"202,872",74.47%
CA,5,H2CA05095,,Randy,Loftin,R,"22,137",16.69%,,,"69,545",25.53%
CA,5,H2CA05087,,Stewart  John,Cilley,R,"14,734",11.11%,,,,
CA,5,n/a,,,,,"132,619",,,,"272,417",
CA,,n/a,,,,,,,,,,
CA,6,H6CA05195,(I),Doris ,Matsui,D,"67,174",71.40%,,,"160,667",75.05%
CA,6,H2CA06291,,"Joseph, Sr.",McRay,R,"15,647",16.63%,,,"53,406",24.95%
CA,6,H0CA05073,,Erik,Smitt,R,"11,254",11.96%,,,,
CA,6,n/a,,,,,"94,075",,,,"214,073",
CA,,n/a,,,,,,,,,,
CA,7,H0CA03078,,Ami ,Bera,D,"49,433",41.00%,,,"141,241",51.68%
