CID,Name,Party,Cycle,Industry,Industry Code,Total,PACs,Individuals,Origin,Last Updated,Source,,,,,,,
N00027605,Jon Tester,D,2014,Retired,W06,830731,0,830731,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00027605&cycle=2014,,,,,,,
N00030980,Kelly Ayotte,R,2014,Securities & Investment,F07,828692,55000,773692,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00030980&cycle=2014,,,,,,,
N00007724,Ron Wyden,D,2014,Lawyers/Law Firms,K01,825710,205085,620625,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00007724&cycle=2014,,,,,,,
N00004572,John Thune,R,2014,Retired,W06,825225,0,825225,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00004572&cycle=2014,,,,,,,
N00030612,Marco Rubio,R,2014,Real Estate,F10,816601,40800,775801,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00030612&cycle=2014,,,,,,,
N00000270,Ed Markey,D,2014,Real Estate,F10,814500,35000,779500,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00000270&cycle=2014,,,,,,,
N00012539,Mark Kirk,R,2014,Pro-Israel,Q05,806996,127004,679992,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00012539&cycle=2014,,,,,,,
N00004357,Paul Ryan,R,2014,Retired,W06,800240,0,800240,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00004357&cycle=2014,,,,,,,
N00009922,Harry Reid,D,2014,Real Estate,F10,796211,93860,702351,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00009922&cycle=2014,,,,,,,
N00029617,Kay R. Hagan,D,2014,Women's Issues,Q08,790394,33607,756787,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00029617&cycle=2014,,,,,,,
N00024790,Jeanne Shaheen,D,2014,Women's Issues,Q08,788663,34500,754163,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00024790&cycle=2014,,,,,,,
N00027658,Kirsten Gillibrand,D,2014,TV/Movies/Music,B02,785867,103500,682367,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00027658&cycle=2014,,,,,,,
N00029277,Gary Peters,D,2014,Lawyers/Law Firms,K01,784048,52500,731548,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00029277&cycle=2014,,,,,,,
N00005395,Mary L. Landrieu,D,2014,Leadership PACs,Q03,783200,782800,400,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00005395&cycle=2014,,,,,,,
N00027605,Jon Tester,D,2014,Securities & Investment,F07,782956,227500,555456,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00027605&cycle=2014,,,,,,,
N00024790,Jeanne Shaheen,D,2014,Lawyers/Law Firms,K01,781770,115716,666054,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00024790&cycle=2014,,,,,,,
N00027658,Kirsten Gillibrand,D,2014,Lobbyists,K02,780046,33674,746372,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00027658&cycle=2014,,,,,,,
N00007836,Maria Cantwell,D,2014,Lawyers/Law Firms,K01,777909,10500,767409,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00007836&cycle=2014,,,,,,,
N00003682,Rob Portman,R,2014,Misc Manufacturing & Distributing,N15,773435,171700,601735,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00003682&cycle=2014,,,,,,,
N00002097,Mark Warner,D,2014,Real Estate,F10,769550,92126,677424,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00002097&cycle=2014,,,,,,,
N00030780,Cory Gardner,R,2014,Securities & Investment,F07,768106,16000,752106,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00030780&cycle=2014,,,,,,,
N00003682,Rob Portman,R,2014,Real Estate,F10,764401,57400,707001,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00003682&cycle=2014,,,,,,,
N00001489,Pat Toomey,R,2014,Real Estate,F10,762425,43100,719325,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00001489&cycle=2014,,,,,,,
N00008051,Mark Udall,D,2014,Securities & Investment,F07,762223,74000,688223,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00008051&cycle=2014,,,,,,,
N00027533,Sheldon Whitehouse,D,2014,Lawyers/Law Firms,K01,753556,107230,646326,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00027533&cycle=2014,,,,,,,
N00009922,Harry Reid,D,2014,Retired,W06,746503,0,746503,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00009922&cycle=2014,,,,,,,
N00033085,Ted Cruz,R,2014,Securities & Investment,F07,745827,24500,721327,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00033085&cycle=2014,,,,,,,
